year,province_id,province_name,track,school_name,school_province,city,tier,f985,f211,shuangyiliu,min_score,min_rank,avg_score,batch
2020,gx,广西,history,玉溪师范学院,云南,玉溪市,本科,0,0,0,456,20579,,普通类_本科二批
2020,gx,广西,history,哈尔滨师范大学,黑龙江,哈尔滨市,本科,0,0,0,456,20579,,普通类_本科二批
2020,gx,广西,history,广东石油化工学院,广东,茂名市,本科,0,0,0,456,20579,,普通类_本科二批
2020,gx,广西,history,武汉体育学院,湖北,武汉市,本科,0,0,0,456,20579,,普通类_本科二批
2020,gx,广西,history,西安文理学院,陕西,西安市,本科,0,0,0,456,20579,,普通类_本科二批
2020,gx,广西,history,山东第一医科大学,山东,泰安市,本科,0,0,0,455,20882,,普通类_本科二批
2020,gx,广西,history,长沙师范学院,湖南,长沙市,本科,0,0,0,455,20882,,普通类_本科二批
2020,gx,广西,history,曲靖师范学院,云南,曲靖市,本科,0,0,0,455,20882,,普通类_本科二批
2020,gx,广西,history,齐齐哈尔大学,黑龙江,齐齐哈尔市,本科,0,0,0,455,20882,,普通类_本科二批
2020,gx,广西,history,盐城工学院,江苏,盐城市,本科,0,0,0,454,21159,,普通类_本科二批
2020,gx,广西,history,怀化学院,湖南,怀化市,本科,0,0,0,454,21159,,普通类_本科二批
2020,gx,广西,history,南阳师范学院,河南,南阳市,本科,0,0,0,454,21159,,普通类_本科二批
2020,gx,广西,history,淮阴工学院,江苏,淮安市,本科,0,0,0,454,21159,,普通类_本科二批
2020,gx,广西,history,合肥学院,安徽,合肥市,本科,0,0,0,453,21455,,普通类_本科二批
2020,gx,广西,history,太原师范学院,山西,太原市,本科,0,0,0,453,21455,,普通类_本科二批
2020,gx,广西,history,宁德师范学院,福建,宁德市,本科,0,0,0,453,21455,,普通类_本科二批
2020,gx,广西,history,广西民族师范学院,广西,崇左市,本科,0,0,0,453,21455,,汉族_本科二批
2020,gx,广西,history,山西医科大学,山西,太原市,本科,0,0,0,452,21773,,普通类_本科二批
2020,gx,广西,history,湖北医药学院,湖北,十堰市,本科,0,0,0,452,21773,,普通类_本科二批
2020,gx,广西,history,内江师范学院,四川,内江市,本科,0,0,0,452,21773,,普通类_本科二批
2020,gx,广西,history,洛阳师范学院,河南,洛阳市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,周口师范学院,河南,周口市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,湖北科技学院,湖北,咸宁市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,洛阳理工学院,河南,洛阳市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,长春工业大学,吉林,长春市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,西藏大学,西藏,拉萨市,211,0,1,1,451,22112,,普通类_本科二批
2020,gx,广西,history,宜宾学院,四川,宜宾市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,黄冈师范学院,湖北,黄冈市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,北京理工大学珠海学院,广东,珠海市,本科,0,0,0,451,22112,,普通类_本科二批
2020,gx,广西,history,泰山学院,山东,泰安市,本科,0,0,0,466,22412,,普通类_本科二批
2020,gx,广西,history,商丘师范学院,河南,商丘市,本科,0,0,0,450,22473,,普通类_本科二批
2020,gx,广西,history,集美大学诚毅学院,福建,厦门市,本科,0,0,0,450,22473,,普通类_本科二批
2020,gx,广西,history,咸阳师范学院,陕西,咸阳市,本科,0,0,0,450,22473,,普通类_本科二批
2020,gx,广西,history,河南财政金融学院,河南,郑州市,本科,0,0,0,450,22473,,普通类_本科二批
2020,gx,广西,history,成都东软学院,四川,成都市,本科,0,0,0,465,22697,,普通类_本科二批
2020,gx,广西,history,吉林外国语大学,吉林,长春市,本科,0,0,0,449,22812,,普通类_本科二批
